area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,type,locality,area,price_unit,region,status,age,owner,posted_date,images
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1225.0,2.0,0.0,68.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ascid P,1814.0,3.0,3.0,63.0,,,,,,,,,,,
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1157.0,2.0,1.0,65.0,,,,,,,,,,,
Super built-up  Area,19-Dec,Hoodi,2 BHK,Hahtsde,1447.0,3.0,2.0,76.0,,,,,,,,,,,
Super built-up  Area,18-Dec,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,1.0,125.0,,,,,,,,,,,
Super built-up  Area,18-Dec,Seegehalli,2 BHK,,920.0,2.0,1.0,27.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRlpank,1465.0,3.0,3.0,75.0,,,,,,,,,,,
Built-up  Area,Ready To Move,KR Puram,4 Bedroom,,1200.0,4.0,0.0,83.0,,,,,,,,,,,
Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,DNncasa,1274.0,2.0,1.0,90.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Anand Nagar,3 BHK,,1080.0,2.0,2.0,75.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,Trnce A,1875.0,2.0,2.0,110.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Electronic City,2 BHK,Prhtsua,1250.0,2.0,1.0,62.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1758.0,3.0,2.0,133.0,,,,,,,,,,,
Plot  Area,Ready To Move,Jeevan bima nagar,4 Bedroom,,1200.0,4.0,1.0,200.0,,,,,,,,,,,
Super built-up  Area,20-Aug,Hebbal,3 BHK,Magiaya,1255.0,2.0,1.0,95.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3978.0,4.0,3.0,428.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Ratlet ,1040.0,2.0,1.0,50.0,,,,,,,,,,,
